datetime;day;hour;close_current;open_current;move_down;move_up;percent;percent_10;in_1;in_2;in_3;in_4;in_5;in_6;in_7;in_8;in_9;in_10;in_11;in_12;in_13;in_14;in_15;in_16;in_17;in_18;in_19;in_20;in_21;in_22;in_23;in_24;in_25;in_26;in_27;in_28;in_29;in_30;in_31;in_32;in_33;in_34;in_35;in_36;in_37;in_38;in_39;in_40;in_41;in_42;in_43;in_44;in_45;in_46;in_47;in_48;in_49;in_50;in_51;in_52;in_53;in_54;in_55;in_56;in_57;in_58;in_59;in_60;in_61;in_62;in_63;in_64;in_65;in_66;in_67;in_68;in_69;in_70;in_71;in_72;in_73;in_74;in_75;in_76;in_77;in_78;in_79;in_80;in_81;in_82;in_83;in_84;in_85;in_86;in_87;in_88;in_89;in_90;in_91;in_92;in_93;in_94;in_95;in_96;in_97;in_98;in_99;in_100;in_101;in_102;in_103;in_104;in_105;in_106;in_107;in_108;in_109;in_110;in_111;in_112;in_113;in_114;in_115;in_116;in_117;in_118;in_119;in_120;in_121;in_122;in_123;in_124;in_125;in_126;in_127;in_128;in_129;in_130;in_131;in_132;in_133;in_134;in_135;in_136;in_137;in_138;in_139;in_140;in_141;in_142;in_143;in_144;in_145;in_146;in_147;in_148;in_149;in_150;in_151;in_152;in_153;in_154;in_155;in_156;in_157;in_158;in_159;in_160;in_161;in_162;in_163;in_164;in_165;in_166;in_167;in_168;in_169;in_170
2018.01.11 00:00;4;0;13238.7800;14940.0000;0.2369;0.0019;-0.1139;-0.1139;0.04;0.07;0.15;0.01;0.00;49.41;-0.19;7.97;0;0;-0.17;0;0;0;0;0;0;-0.00;0.60;0.31;0.02;0.05;41.43;0.01;-0.55;0;0;-0.89;0;0;0;0;0;0;0.03;0.09;0.42;0.03;0.03;41.98;-0.23;7.83;0;0;-0.92;0;0;0;0;0;0;-0.00;0.15;0.79;-0.02;-0.05;34.16;0.02;-0.54;0;0;-1.48;0;0;0;0;0;1;-0.00;0.75;0.25;-0.01;0.01;34.70;-0.01;0.24;0;0;-1.57;0;0;0;0;0;1;0.04;0.03;0.70;-0.04;-0.06;50.73;-0.05;2.37;0;0;0.14;0;0;0;0;0;0;-0.03;0.40;0.26;-0.05;0.09;48.37;0.04;-2.24;0;0;-0.33;0;0;0;0;0;0;-0.08;0.03;0.60;-0.05;-0.18;50.60;0.11;-6.04;0;0;-0.09;0;0;0;0;0;0;-0.05;0.02;0.36;-0.00;-0.03;56.65;0.08;-5.04;0;0;0.53;0;0;0;0;0;0;0.01;0.06;0.84;-0.00;0.10;61.69;-0.01;0.38;0;0;0.89;0;0;0;0;0;0;
2018.01.12 00:00;5;0;13740.0100;13238.7600;0.0558;0.0658;0.0379;0.0379;-0.01;0.22;0.64;-0.04;-0.05;39.09;0.03;-1.35;0;0;-1.54;0;0;0;0;0;1;-0.04;0.24;0.23;-0.01;-0.01;40.43;0.09;-3.92;0;0;-1.37;0;0;0;0;0;1;0.04;0.40;0.09;0.04;0.02;44.35;-0.16;6.02;0;0;-0.77;0;0;0;0;0;0;-0.01;0.43;0.40;0.02;0.14;38.33;0.03;-1.00;0;0;-1.55;0;0;0;0;0;1;0.05;0.05;0.68;-0.09;-0.10;39.33;-0.21;6.89;0;0;-1.51;0;0;0;0;0;1;-0.11;0.01;0.52;0.00;-0.13;43.64;0.14;-7.09;0;0;-1.12;0;0;0;0;0;1;0.04;0.03;0.70;-0.04;-0.06;50.73;-0.05;2.37;0;0;0.14;0;0;0;0;0;0;-0.03;0.40;0.26;-0.05;0.09;48.37;0.04;-2.24;0;0;-0.33;0;0;0;0;0;0;-0.08;0.03;0.60;-0.05;-0.18;50.60;0.11;-6.04;0;0;-0.09;0;0;0;0;0;0;-0.05;0.02;0.36;-0.00;-0.03;56.65;0.08;-5.04;0;0;0.53;0;0;0;0;0;0;
2018.01.13 00:00;6;0;14210.0000;13749.9500;0.0032;0.0604;0.0335;0.0335;0.00;0.41;0.53;0.01;0.02;45.57;-0.01;0.25;0;0;-0.40;0;0;0;0;0;0;0.02;0.15;0.33;-0.02;-0.01;45.33;-0.08;3.25;0;0;-0.51;0;0;0;0;0;0;-0.04;0.23;0.08;-0.00;0.00;42.07;0.09;-4.08;0;0;-1.08;0;0;0;0;0;1;0.01;0.26;0.52;0.01;-0.00;46.15;-0.04;1.83;0;0;-0.39;0;0;0;0;0;0;-0.01;0.18;0.60;0.01;0.07;44.32;0.02;-1.03;0;0;-0.73;0;0;0;0;0;0;0.04;0.23;0.46;-0.06;0.10;46.08;-0.06;2.44;0;0;-0.64;0;0;0;0;0;0;-0.11;0.01;0.52;0.00;-0.13;43.64;0.14;-7.09;0;0;-1.12;0;0;0;0;0;1;0.04;0.03;0.70;-0.04;-0.06;50.73;-0.05;2.37;0;0;0.14;0;0;0;0;0;0;-0.03;0.40;0.26;-0.05;0.09;48.37;0.04;-2.24;0;0;-0.33;0;0;0;0;0;0;-0.08;0.03;0.60;-0.05;-0.18;50.60;0.11;-6.04;0;0;-0.09;0;0;0;0;0;0;
2018.01.14 00:00;0;0;13474.9900;14210.0000;0.1155;0.0091;-0.0517;-0.0517;0.01;0.42;0.20;-0.00;0.01;50.63;-0.03;1.54;0;0;0.74;0;0;0;0;0;0;-0.01;0.23;0.38;-0.02;-0.01;49.09;0.04;-1.86;0;0;0.50;0;0;0;0;0;0;0.01;0.68;0.17;0.02;0.01;50.95;-0.01;0.73;0;0;0.86;0;0;0;0;0;0;-0.01;0.01;0.73;-0.00;0.00;50.22;0.02;-0.86;0;0;0.69;0;0;0;0;0;0;0.01;0.17;0.32;0.00;0.02;51.08;-0.04;1.98;0;0;0.76;0;0;0;0;0;0;0.03;0.42;0.05;0.03;0.10;48.34;-0.05;2.26;0;0;-0.29;0;0;0;0;0;0;0.04;0.23;0.46;-0.06;0.10;46.08;-0.06;2.44;0;0;-0.64;0;0;0;0;0;0;-0.11;0.01;0.52;0.00;-0.13;43.64;0.14;-7.09;0;0;-1.12;0;0;0;0;0;1;0.04;0.03;0.70;-0.04;-0.06;50.73;-0.05;2.37;0;0;0.14;0;0;0;0;0;0;-0.03;0.40;0.26;-0.05;0.09;48.37;0.04;-2.24;0;0;-0.33;0;0;0;0;0;0;
2018.01.15 00:00;1;0;13539.9300;13477.9800;0.0245;0.0573;0.0046;0.0046;0.03;0.25;0.06;0.01;0.03;44.77;-0.13;5.26;0;0;-0.62;0;0;0;0;0;0;0.02;0.45;0.24;0.00;0.01;39.51;-0.10;3.71;0;0;-1.56;0;0;0;0;0;1;-0.03;0.17;0.35;-0.02;-0.04;35.80;0.10;-3.88;0;0;-2.06;0;0;0;0;1;0;-0.02;0.22;0.27;-0.03;-0.02;39.68;0.08;-3.26;0;0;-1.21;0;0;0;0;0;1;-0.04;0.04;0.27;-0.01;-0.05;42.94;0.14;-7.05;0;0;-0.61;0;0;0;0;0;0;-0.05;0.07;0.51;-0.02;-0.08;45.15;0.07;-3.18;0;0;-0.93;0;0;0;0;0;0;0.03;0.42;0.05;0.03;0.10;48.34;-0.05;2.26;0;0;-0.29;0;0;0;0;0;0;0.04;0.23;0.46;-0.06;0.10;46.08;-0.06;2.44;0;0;-0.64;0;0;0;0;0;0;-0.11;0.01;0.52;0.00;-0.13;43.64;0.14;-7.09;0;0;-1.12;0;0;0;0;0;1;0.04;0.03;0.70;-0.04;-0.06;50.73;-0.05;2.37;0;0;0.14;0;0;0;0;0;0;
2018.01.16 00:00;2;0;10900.0000;13500.0000;0.3307;0.0032;-0.1926;-0.1926;-0.02;0.13;0.40;-0.02;-0.02;46.40;0.06;-2.90;0;0;-0.48;0;0;0;0;0;0;-0.02;0.25;0.24;-0.01;0.01;49.30;0.06;-3.18;0;0;0.07;0;0;0;0;0;0;0.03;0.36;0.17;0.04;0.03;52.48;-0.10;4.69;0;0;0.65;0;0;0;0;0;0;0.02;0.16;0.34;0.00;-0.01;47.79;-0.10;4.36;0;0;-0.15;0;0;0;0;0;0;-0.00;0.76;0.21;0.00;0.00;43.43;0.00;-0.16;0;0;-0.85;0;0;0;0;0;0;0.00;0.64;0.30;-0.01;0.05;45.50;-0.01;0.34;0;0;-0.87;0;0;0;0;0;0;-0.05;0.07;0.51;-0.02;-0.08;45.15;0.07;-3.18;0;0;-0.93;0;0;0;0;0;0;0.03;0.42;0.05;0.03;0.10;48.34;-0.05;2.26;0;0;-0.29;0;0;0;0;0;0;0.04;0.23;0.46;-0.06;0.10;46.08;-0.06;2.44;0;0;-0.64;0;0;0;0;0;0;-0.11;0.01;0.52;0.00;-0.13;43.64;0.14;-7.09;0;0;-1.12;0;0;0;0;0;1;
2018.01.17 00:00;3;0;10988.7900;10899.9900;0.1708;0.0717;0.0081;0.0081;-0.02;0.15;0.78;-0.05;-0.15;24.39;0.04;-0.91;0;1;-2.41;0;0;0;0;1;0;-0.08;0.02;0.35;-0.02;-0.04;25.30;0.19;-5.93;0;1;-2.73;0;0;0;0;1;0;-0.01;0.05;0.80;-0.02;0.04;31.23;0.04;-1.28;0;0;-2.22;0;0;0;0;1;0;-0.02;0.08;0.81;-0.05;-0.13;32.51;0.05;-1.76;0;0;-2.40;0;0;0;0;1;0;-0.04;0.36;0.13;-0.03;-0.02;34.28;0.11;-4.25;0;0;-2.52;0;0;0;0;1;0;-0.19;0.01;0.41;-0.05;-0.31;35.75;0.21;-9.75;0;0;-2.56;0;0;0;0;1;0;0.00;0.64;0.30;-0.01;0.05;45.50;-0.01;0.34;0;0;-0.87;0;0;0;0;0;0;-0.05;0.07;0.51;-0.02;-0.08;45.15;0.07;-3.18;0;0;-0.93;0;0;0;0;0;0;0.03;0.42;0.05;0.03;0.10;48.34;-0.05;2.26;0;0;-0.29;0;0;0;0;0;0;0.04;0.23;0.46;-0.06;0.10;46.08;-0.06;2.44;0;0;-0.64;0;0;0;0;0;0;
2018.01.18 00:00;4;0;10961.9700;10972.5900;0.0490;0.0826;-0.0010;-0.0010;0.06;0.46;0.12;0.10;0.11;41.01;-0.17;6.02;0;0;-0.82;0;0;0;0;0;0;0.13;0.15;0.05;0.03;0.01;34.99;-0.72;14.66;0;0;-1.32;0;0;0;0;0;1;-0.06;0.37;0.15;-0.04;-0.06;20.33;0.10;-2.37;0;1;-2.27;0;0;0;0;1;0;-0.09;0.02;0.18;-0.03;-0.04;22.71;0.18;-4.94;0;1;-2.24;0;0;0;0;1;0;0.03;0.30;0.40;-0.03;0.02;27.65;-0.26;5.76;0;1;-1.83;0;0;0;0;0;1;0.01;0.26;0.70;-0.14;0.00;36.24;-0.01;0.49;0;0;-2.12;0;0;0;0;1;0;-0.19;0.01;0.41;-0.05;-0.31;35.75;0.21;-9.75;0;0;-2.56;0;0;0;0;1;0;0.00;0.64;0.30;-0.01;0.05;45.50;-0.01;0.34;0;0;-0.87;0;0;0;0;0;0;-0.05;0.07;0.51;-0.02;-0.08;45.15;0.07;-3.18;0;0;-0.93;0;0;0;0;0;0;0.03;0.42;0.05;0.03;0.10;48.34;-0.05;2.26;0;0;-0.29;0;0;0;0;0;0;
2018.01.19 00:00;5;0;11474.9800;10960.0000;0.0547;0.0762;0.0470;0.0470;-0.05;0.19;0.29;0.00;-0.02;43.18;0.09;-4.41;0;0;-0.48;0;0;0;0;0;0;-0.01;0.00;0.81;-0.02;-0.03;47.59;0.03;-1.26;0;0;-0.11;0;0;0;0;0;0;0.03;0.28;0.28;0.03;0.08;48.85;-0.05;2.39;0;0;-0.05;0;0;0;0;0;0;0.09;0.08;0.02;0.02;0.00;46.46;-0.24;8.91;0;0;-0.31;0;0;0;0;0;0;-0.04;0.42;0.04;-0.02;-0.02;37.55;0.08;-3.23;0;0;-1.01;0;0;0;0;0;1;-0.00;0.63;0.36;0.02;0.15;36.15;0.00;-0.09;0;0;-1.86;0;0;0;0;0;1;0.01;0.26;0.70;-0.14;0.00;36.24;-0.01;0.49;0;0;-2.12;0;0;0;0;1;0;-0.19;0.01;0.41;-0.05;-0.31;35.75;0.21;-9.75;0;0;-2.56;0;0;0;0;1;0;0.00;0.64;0.30;-0.01;0.05;45.50;-0.01;0.34;0;0;-0.87;0;0;0;0;0;0;-0.05;0.07;0.51;-0.02;-0.08;45.15;0.07;-3.18;0;0;-0.93;0;0;0;0;0;0;
2018.01.20 00:00;6;0;12799.9400;11474.9800;0.0054;0.1415;0.1155;0.1155;0.03;0.03;0.19;-0.02;0.01;48.95;-0.07;3.22;0;0;0.71;0;0;0;0;0;0;-0.02;0.45;0.23;-0.01;-0.01;45.72;0.04;-2.14;0;0;0.16;0;0;0;0;0;0;-0.01;0.39;0.41;0.02;0.02;47.86;0.02;-1.16;0;0;0.35;0;0;0;0;0;0;0.04;0.10;0.17;0.02;0.03;49.02;-0.10;4.39;0;0;0.33;0;0;0;0;0;0;0.02;0.36;0.31;-0.01;0.02;44.62;-0.06;2.40;0;0;-0.23;0;0;0;0;0;0;0.05;0.22;0.42;-0.01;-0.01;39.28;-0.09;3.13;0;0;-1.40;0;0;0;0;0;1;-0.00;0.63;0.36;0.02;0.15;36.15;0.00;-0.09;0;0;-1.86;0;0;0;0;0;1;0.01;0.26;0.70;-0.14;0.00;36.24;-0.01;0.49;0;0;-2.12;0;0;0;0;1;0;-0.19;0.01;0.41;-0.05;-0.31;35.75;0.21;-9.75;0;0;-2.56;0;0;0;0;1;0;0.00;0.64;0.30;-0.01;0.05;45.50;-0.01;0.34;0;0;-0.87;0;0;0;0;0;0;
