datetime;day;hour;close_current;open_current;move_down;move_up;percent;percent_10;in_1;in_2;in_3;in_4;in_5;in_6;in_7;in_8;in_9;in_10;in_11;in_12;in_13;in_14;in_15;in_16;in_17;in_18;in_19;in_20;in_21;in_22;in_23;in_24;in_25;in_26;in_27;in_28;in_29;in_30;in_31;in_32;in_33;in_34;in_35;in_36;in_37;in_38;in_39;in_40;in_41;in_42;in_43;in_44;in_45;in_46;in_47;in_48;in_49;in_50;in_51;in_52;in_53;in_54;in_55;in_56;in_57;in_58;in_59;in_60;in_61;in_62;in_63;in_64;in_65;in_66;in_67;in_68;in_69;in_70;in_71;in_72;in_73;in_74;in_75;in_76;in_77;in_78;in_79;in_80;in_81;in_82;in_83;in_84;in_85;in_86;in_87;in_88;in_89;in_90;in_91;in_92;in_93;in_94;in_95;in_96;in_97;in_98;in_99;in_100;in_101;in_102;in_103;in_104;in_105;in_106;in_107;in_108;in_109;in_110;in_111;in_112;in_113;in_114;in_115;in_116;in_117;in_118;in_119;in_120;in_121;in_122;in_123;in_124;in_125;in_126;in_127;in_128;in_129;in_130;in_131;in_132;in_133;in_134;in_135;in_136;in_137;in_138;in_139;in_140;in_141;in_142;in_143;in_144;in_145;in_146;in_147;in_148;in_149;in_150;in_151;in_152;in_153;in_154;in_155;in_156;in_157;in_158;in_159;in_160;in_161;in_162;in_163;in_164;in_165;in_166;in_167;in_168;in_169;in_170
2018.01.11 00:00;4;0;1138.9300;1249.0300;0.1826;0.0668;-0.0881;-0.0881;-0.04;0.14;0.40;-0.03;-0.05;56.93;0.10;-6.29;0;0;0.48;0;0;0;0;0;0;-0.04;0.13;0.36;-0.01;-0.02;63.23;0.11;-7.88;0;0;1.09;0;0;1;0;0;0;0.01;0.33;0.55;0.02;0.04;71.11;-0.01;0.70;1;0;1.77;0;0;1;0;0;0;0.02;0.09;0.73;-0.06;-0.06;70.41;-0.03;1.77;1;0;1.81;0;0;1;0;0;0;-0.03;0.70;0.00;0.03;0.07;68.64;0.08;-5.95;0;0;1.71;0;0;1;0;0;0;-0.03;0.62;0.19;0.09;0.09;80.29;0.06;-5.51;1;0;2.03;0;1;0;0;0;0;0.14;0.16;0.13;0.07;0.21;85.81;-0.05;4.21;1;0;2.64;0;1;0;0;0;0;0.01;0.32;0.65;0.10;-0.09;81.60;-0.00;0.33;1;0;2.27;0;1;0;0;0;0;0.12;0.02;0.03;0.11;0.05;81.27;-0.06;4.57;1;0;2.66;0;1;0;0;0;0;0.05;0.20;0.12;-0.03;0.02;76.69;-0.03;2.18;1;0;2.25;0;1;0;0;0;0;
2018.01.12 00:00;5;0;1253.8700;1136.4500;0.0593;0.1338;0.1033;0.1033;-0.03;0.17;0.53;-0.04;-0.08;45.73;0.07;-3.28;0;0;-1.07;0;0;0;0;0;1;-0.04;0.32;0.16;-0.00;-0.01;49.01;0.08;-4.49;0;0;-0.61;0;0;0;0;0;0;0.03;0.35;0.16;-0.00;0.03;53.50;-0.06;3.05;0;0;0.02;0;0;0;0;0;0;-0.03;0.21;0.42;0.00;0.12;50.45;0.07;-3.57;0;0;-0.38;0;0;0;0;0;0;0.06;0.08;0.62;-0.07;-0.09;54.02;-0.13;6.18;0;0;0.16;0;0;0;0;0;0;-0.09;0.27;0.38;-0.07;-0.15;68.63;0.15;-11.66;0;0;1.33;0;0;1;0;0;0;-0.03;0.62;0.19;0.09;0.09;80.29;0.06;-5.51;1;0;2.03;0;1;0;0;0;0;0.14;0.16;0.13;0.07;0.21;85.81;-0.05;4.21;1;0;2.64;0;1;0;0;0;0;0.01;0.32;0.65;0.10;-0.09;81.60;-0.00;0.33;1;0;2.27;0;1;0;0;0;0;0.12;0.02;0.03;0.11;0.05;81.27;-0.06;4.57;1;0;2.66;0;1;0;0;0;0;
2018.01.13 00:00;6;0;1388.0200;1253.8700;0.0015;0.1381;0.1070;0.1070;0.00;0.53;0.45;0.02;0.03;56.12;-0.00;0.08;0;0;0.22;0;0;0;0;0;0;0.03;0.09;0.25;-0.02;-0.00;56.04;-0.07;3.55;0;0;0.24;0;0;0;0;0;0;-0.00;0.81;0.16;0.05;0.02;52.50;0.01;-0.43;0;0;-0.36;0;0;0;0;0;0;-0.00;0.20;0.80;-0.01;-0.01;52.92;0.00;0.00;0;0;-0.21;0;0;0;0;0;0;-0.00;0.34;0.63;0.02;0.11;52.92;0.00;-0.13;0;0;-0.16;0;0;0;0;0;0;0.10;0.16;0.31;-0.03;0.05;73.10;-0.07;4.48;1;0;1.68;0;0;1;0;0;0;-0.09;0.27;0.38;-0.07;-0.15;68.63;0.15;-11.66;0;0;1.33;0;0;1;0;0;0;-0.03;0.62;0.19;0.09;0.09;80.29;0.06;-5.51;1;0;2.03;0;1;0;0;0;0;0.14;0.16;0.13;0.07;0.21;85.81;-0.05;4.21;1;0;2.64;0;1;0;0;0;0;0.01;0.32;0.65;0.10;-0.09;81.60;-0.00;0.33;1;0;2.27;0;1;0;0;0;0;
2018.01.14 00:00;0;0;1347.0000;1388.1000;0.1205;0.0027;-0.0296;-0.0296;0.00;0.59;0.36;-0.00;0.01;67.77;-0.00;0.20;0;0;1.72;0;0;1;0;0;0;0.02;0.55;0.07;0.04;0.02;67.57;-0.04;2.30;0;0;1.85;0;0;1;0;0;0;0.01;0.31;0.18;0.02;0.02;65.27;-0.03;1.67;0;0;1.51;0;0;1;0;0;0;0.00;0.03;0.77;0.00;0.02;63.60;-0.01;0.54;0;0;1.31;0;0;1;0;0;0;0.04;0.11;0.09;0.04;0.02;63.06;-0.07;4.22;0;0;1.34;0;0;1;0;0;0;0.11;0.22;0.01;0.11;0.17;77.19;-0.06;4.09;1;0;2.00;0;1;0;0;0;0;0.10;0.16;0.31;-0.03;0.05;73.10;-0.07;4.48;1;0;1.68;0;0;1;0;0;0;-0.09;0.27;0.38;-0.07;-0.15;68.63;0.15;-11.66;0;0;1.33;0;0;1;0;0;0;-0.03;0.62;0.19;0.09;0.09;80.29;0.06;-5.51;1;0;2.03;0;1;0;0;0;0;0.14;0.16;0.13;0.07;0.21;85.81;-0.05;4.21;1;0;2.64;0;1;0;0;0;0;
2018.01.15 00:00;1;0;1271.0000;1347.9900;0.0667;0.0261;-0.0571;-0.0571;0.04;0.13;0.04;0.02;0.05;58.18;-0.10;5.47;0;0;0.99;0;0;0;0;0;0;0.03;0.32;0.24;0.01;0.01;52.72;-0.11;5.20;0;0;0.31;0;0;0;0;0;0;-0.04;0.14;0.31;-0.03;-0.05;47.52;0.12;-6.59;0;0;-0.21;0;0;0;0;0;0;-0.03;0.29;0.22;-0.02;-0.01;54.11;0.09;-5.11;0;0;0.50;0;0;0;0;0;0;-0.03;0.07;0.43;-0.01;-0.03;59.22;0.09;-6.00;0;0;0.98;0;0;0;0;0;0;-0.03;0.02;0.74;-0.02;-0.02;73.51;0.05;-3.68;1;0;1.63;0;0;1;0;0;0;0.11;0.22;0.01;0.11;0.17;77.19;-0.06;4.09;1;0;2.00;0;1;0;0;0;0;0.10;0.16;0.31;-0.03;0.05;73.10;-0.07;4.48;1;0;1.68;0;0;1;0;0;0;-0.09;0.27;0.38;-0.07;-0.15;68.63;0.15;-11.66;0;0;1.33;0;0;1;0;0;0;-0.03;0.62;0.19;0.09;0.09;80.29;0.06;-5.51;1;0;2.03;0;1;0;0;0;0;
2018.01.16 00:00;2;0;1000.0000;1268.6700;0.3852;0.0050;-0.2118;-0.2118;-0.02;0.10;0.26;-0.01;-0.02;48.21;0.08;-4.12;0;0;-0.71;0;0;0;0;0;0;-0.01;0.19;0.55;-0.01;0.01;52.33;0.02;-1.10;0;0;-0.02;0;0;0;0;0;0;0.01;0.33;0.39;0.00;0.01;53.44;-0.05;2.38;0;0;0.20;0;0;0;0;0;0;-0.01;0.43;0.43;-0.01;-0.03;51.06;0.02;-1.24;0;0;-0.02;0;0;0;0;0;0;-0.01;0.64;0.00;-0.03;0.00;52.30;0.04;-2.06;0;0;0.20;0;0;0;0;0;0;-0.06;0.28;0.10;-0.01;0.03;67.13;0.09;-6.39;0;0;1.20;0;0;1;0;0;0;-0.03;0.02;0.74;-0.02;-0.02;73.51;0.05;-3.68;1;0;1.63;0;0;1;0;0;0;0.11;0.22;0.01;0.11;0.17;77.19;-0.06;4.09;1;0;2.00;0;1;0;0;0;0;0.10;0.16;0.31;-0.03;0.05;73.10;-0.07;4.48;1;0;1.68;0;0;1;0;0;0;-0.09;0.27;0.38;-0.07;-0.15;68.63;0.15;-11.66;0;0;1.33;0;0;1;0;0;0;
2018.01.17 00:00;3;0;1000.0000;999.9900;0.2450;0.0755;0.0000;0.0000;-0.02;0.14;0.78;-0.05;-0.19;25.48;0.05;-1.33;0;1;-2.42;0;0;0;0;1;0;-0.09;0.00;0.39;-0.02;-0.05;26.81;0.20;-6.59;0;1;-2.74;0;0;0;0;1;0;-0.02;0.04;0.82;-0.01;0.07;33.40;0.04;-1.49;0;0;-2.28;0;0;0;0;1;0;0.00;0.09;0.89;-0.06;-0.16;34.89;0.00;-0.17;0;0;-2.43;0;0;0;0;1;0;-0.07;0.13;0.10;-0.03;-0.04;35.07;0.17;-7.12;0;0;-2.86;0;0;0;0;1;0;-0.21;0.01;0.44;-0.08;-0.38;50.33;0.25;-16.79;0;0;0.00;0;0;0;0;0;0;-0.06;0.28;0.10;-0.01;0.03;67.13;0.09;-6.39;0;0;1.20;0;0;1;0;0;0;-0.03;0.02;0.74;-0.02;-0.02;73.51;0.05;-3.68;1;0;1.63;0;0;1;0;0;0;0.11;0.22;0.01;0.11;0.17;77.19;-0.06;4.09;1;0;2.00;0;1;0;0;0;0;0.10;0.16;0.31;-0.03;0.05;73.10;-0.07;4.48;1;0;1.68;0;0;1;0;0;0;
2018.01.18 00:00;4;0;994.0000;1000.0000;0.0758;0.0752;-0.0060;-0.0060;0.10;0.39;0.12;0.14;0.15;42.11;-0.26;8.67;0;0;-0.82;0;0;0;0;0;0;0.17;0.19;0.01;0.04;0.03;33.44;-0.76;14.48;0;0;-1.44;0;0;0;0;0;1;-0.09;0.27;0.20;-0.08;-0.10;18.96;0.13;-2.77;0;1;-2.31;0;0;0;0;1;0;-0.11;0.02;0.13;-0.02;-0.05;21.73;0.19;-5.05;0;1;-2.26;0;0;0;0;1;0;0.03;0.23;0.47;-0.08;0.02;26.78;-0.20;4.38;0;1;-1.91;0;0;0;0;0;1;0.00;0.24;0.76;-0.16;-0.03;50.33;0.00;0.00;0;0;-0.05;0;0;0;0;0;0;-0.21;0.01;0.44;-0.08;-0.38;50.33;0.25;-16.79;0;0;0.00;0;0;0;0;0;0;-0.06;0.28;0.10;-0.01;0.03;67.13;0.09;-6.39;0;0;1.20;0;0;1;0;0;0;-0.03;0.02;0.74;-0.02;-0.02;73.51;0.05;-3.68;1;0;1.63;0;0;1;0;0;0;0.11;0.22;0.01;0.11;0.17;77.19;-0.06;4.09;1;0;2.00;0;1;0;0;0;0;
2018.01.19 00:00;5;0;1032.5000;993.3000;0.0527;0.0863;0.0395;0.0395;-0.05;0.17;0.31;-0.00;-0.03;43.97;0.08;-3.88;0;0;-0.46;0;0;0;0;0;0;-0.02;0.00;0.78;-0.00;-0.02;47.85;0.03;-1.35;0;0;-0.15;0;0;0;0;0;0;0.05;0.08;0.23;0.04;0.08;49.20;-0.08;3.51;0;0;-0.10;0;0;0;0;0;0;0.09;0.12;0.02;0.01;0.01;45.69;-0.20;7.51;0;0;-0.45;0;0;0;0;0;0;-0.05;0.43;0.10;-0.03;-0.04;38.18;0.07;-2.85;0;0;-1.02;0;0;0;0;0;1;-0.01;0.50;0.46;-0.00;0.22;50.01;0.01;-0.32;0;0;-0.13;0;0;0;0;0;0;0.00;0.24;0.76;-0.16;-0.03;50.33;0.00;0.00;0;0;-0.05;0;0;0;0;0;0;-0.21;0.01;0.44;-0.08;-0.38;50.33;0.25;-16.79;0;0;0.00;0;0;0;0;0;0;-0.06;0.28;0.10;-0.01;0.03;67.13;0.09;-6.39;0;0;1.20;0;0;1;0;0;0;-0.03;0.02;0.74;-0.02;-0.02;73.51;0.05;-3.68;1;0;1.63;0;0;1;0;0;0;
2018.01.20 00:00;6;0;1152.7500;1032.5000;0.0015;0.1287;0.1165;0.1165;0.02;0.10;0.32;-0.02;0.00;47.88;-0.03;1.56;0;0;0.47;0;0;0;0;0;0;-0.02;0.39;0.22;-0.02;-0.02;46.32;0.04;-1.78;0;0;0.18;0;0;0;0;0;0;-0.02;0.46;0.25;0.02;0.03;48.10;0.03;-1.29;0;0;0.29;0;0;0;0;0;0;0.05;0.05;0.13;0.03;0.04;49.39;-0.10;4.36;0;0;0.30;0;0;0;0;0;0;0.02;0.30;0.37;-0.02;0.02;45.03;-0.04;1.81;0;0;-0.24;0;0;0;0;0;0;0.04;0.34;0.38;0.00;0.02;52.12;-0.04;2.11;0;0;-0.02;0;0;0;0;0;0;-0.01;0.50;0.46;-0.00;0.22;50.01;0.01;-0.32;0;0;-0.13;0;0;0;0;0;0;0.00;0.24;0.76;-0.16;-0.03;50.33;0.00;0.00;0;0;-0.05;0;0;0;0;0;0;-0.21;0.01;0.44;-0.08;-0.38;50.33;0.25;-16.79;0;0;0.00;0;0;0;0;0;0;-0.06;0.28;0.10;-0.01;0.03;67.13;0.09;-6.39;0;0;1.20;0;0;1;0;0;0;
